SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,118 Harding St,Massapequa Park,NY,11762,1100000,4,2.5,Massapequa Park,3300,10000,2019,56,333,,Active,,,http://www.redfin.com/NY/Massapequa-Park/118-Harding-St-11762/home/20338181,MLSLI,3142763,N,Y,40.6897406,-73.4525723
MLS Listing,,Single Family Residential,155 Hawthorn St,Massapequa Park,NY,11762,419000,4,2,Massapequa Park,,6000,1959,56,,,Active,,,http://www.redfin.com/NY/Massapequa-Park/155-Hawthorn-St-11762/home/20335843,MLSLI,3142716,N,Y,40.6905906,-73.4510071
MLS Listing,,Condo/Co-op,4 Southgate Cir,Massapequa Park,NY,11762,499000,2,2,Southgate Bar Harbor,,,1981,57,,345,Active,,,http://www.redfin.com/NY/Massapequa-Park/4-Southgate-Cir-11762/home/20225417,MLSLI,3142288,N,Y,40.66515,-73.455731
MLS Listing,,Single Family Residential,459 Pacific St,Massapequa Park,NY,11762,519000,3,2,Massapequa Park,,6000,1956,60,,,Active,,,http://www.redfin.com/NY/Massapequa-Park/459-Pacific-St-11762/home/20345143,MLSLI,3141295,N,Y,40.6991154,-73.4415699
MLS Listing,,Single Family Residential,28 Southgate Cir,Massapequa Park,NY,11762,499000,2,2,Southgate,,1344,1981,64,,,Active,,,http://www.redfin.com/NY/Massapequa-Park/28-Southgate-Cir-11762/home/20224162,MLSLI,3140207,N,Y,40.6658383,-73.4554717
MLS Listing,,Single Family Residential,68 2nd Ave,Massapequa Park,NY,11762,999000,4,2.5,Village / Walk To L.I.R.R,3200,7125,2019,65,312,,Active,August-24-2019 12:00 PM,August-24-2019 01:30 PM,http://www.redfin.com/NY/Massapequa-Park/68-2nd-Ave-11762/home/20340770,MLSLI,3140167,N,Y,40.6815526,-73.4493499
MLS Listing,,Single Family Residential,110 Beverly Ave,Massapequa Park,NY,11762,629999,4,2.5,Massepequa Park Village,1995,6000,1949,65,316,,Active,,,http://www.redfin.com/NY/Massapequa-Park/110-Beverly-Ave-11762/home/20288309,MLSLI,3140032,N,Y,40.6671026,-73.456301
MLS Listing,,Single Family Residential,1107 Park Blvd,Massapequa Park,NY,11762,649999,6,2,Massapequa Park,,6600,1949,67,,,Active,,,http://www.redfin.com/NY/Massapequa-Park/1107-Park-Blvd-11762/home/20334017,MLSLI,3139280,N,Y,40.684904,-73.4540453
MLS Listing,,Townhouse,84 Southgate Cir,Massapequa Park,NY,11762,645000,3,2.5,Bar Harbor,2080,,1979,71,310,479,Active,August-25-2019 12:00 PM,August-25-2019 01:30 PM,http://www.redfin.com/NY/Massapequa-Park/84-Southgate-Cir-11762/home/20226952,MLSLI,3138323,N,Y,40.665386,-73.453818
MLS Listing,,Single Family Residential,62 White Cove Walk,Massapequa Park,NY,11762,625000,4,3,Bar Harbour Community,2260,12500,1956,71,277,,Active,,,http://www.redfin.com/NY/Massapequa-Park/62-White-Cove-Walk-11762/home/20225209,MLSLI,3138293,N,Y,40.6563695,-73.4528485
MLS Listing,,Single Family Residential,40 Jones Pl,Massapequa Park,NY,11762,419000,4,1,The Village,1550,6000,1949,72,270,,Active,,,http://www.redfin.com/NY/Massapequa-Park/40-Jones-Pl-11762/home/20290369,MLSLI,3137549,N,Y,40.6678403,-73.4542295
MLS Listing,,Single Family Residential,126 Atlantic Ave,Massapequa Park,NY,11762,499126,3,2,Village,,6000,1956,77,,,Active,,,http://www.redfin.com/NY/Massapequa-Park/126-Atlantic-Ave-11762/home/20342216,MLSLI,3136472,N,Y,40.6846194,-73.4431812
MLS Listing,,Single Family Residential,116 Smith St,Massapequa Park,NY,11762,1099000,6,3,0,,8000,2017,78,,,Active,,,http://www.redfin.com/NY/Massapequa-Park/116-Smith-St-11762/home/20337610,MLSLI,3135993,N,Y,40.6870263,-73.4532628
MLS Listing,,Single Family Residential,80 Koehl St,Massapequa Park,NY,11762,529000,4,2.5,Massapequa Park,1774,6000,1956,79,298,,Active,August-25-2019 12:00 PM,August-25-2019 01:30 PM,http://www.redfin.com/NY/Massapequa-Park/80-Koehl-St-11762/home/20336895,MLSLI,3135446,N,Y,40.6851095,-73.45492
MLS Listing,,Single Family Residential,90 1st Ave,Massapequa Park,NY,11762,779000,5,3.5,Incorporated Village,,8500,1999,84,,,Active,,,http://www.redfin.com/NY/Massapequa-Park/90-1st-Ave-11762/home/20343334,MLSLI,3133728,N,Y,40.6830037,-73.448199
MLS Listing,,Single Family Residential,148 Maple St,Massapequa Park,NY,11762,524999,4,3,Massapequa Park,1085,6000,1950,93,484,,Active,,,http://www.redfin.com/NY/Massapequa-Park/148-Maple-St-11762/home/20339446,MLSLI,3131348,N,Y,40.6915847,-73.4506849
MLS Listing,,Single Family Residential,80 Fulton St,Massapequa Park,NY,11762,449000,3,1.5,Inc Village,,70000,1956,95,,,Active,,,http://www.redfin.com/NY/Massapequa-Park/80-Fulton-St-11762/home/20339301,MLSLI,3130661,N,Y,40.6830786,-73.455012
